Board_ID,Difficulty,Algorithm,Threads,Rep,Time_s,Correct
easy_007,Easy,OMP-BranchBoundMRV,16,1,0.010859966,1
easy_007,Easy,OMP-BranchBoundMRV,16,2,0.016569853,1
easy_007,Easy,OMP-BranchBoundMRV,16,3,0.033318996,1
easy_007,Easy,OMP-BranchBoundMRV,16,4,0.080372095,1
easy_007,Easy,OMP-BranchBoundMRV,16,5,0.056474924,1
easy_008,Easy,Serial,1,1,0.000059125,1
easy_008,Easy,Serial,1,2,0.000041500,1
easy_008,Easy,Serial,1,3,0.000032042,1
easy_008,Easy,Serial,1,4,0.000029084,1
easy_008,Easy,Serial,1,5,0.000028209,1
easy_008,Easy,Serial-MRV,1,1,0.000559583,1
easy_008,Easy,Serial-MRV,1,2,0.000514041,1
easy_008,Easy,Serial-MRV,1,3,0.000555500,1
easy_008,Easy,Serial-MRV,1,4,0.000594833,1
easy_008,Easy,Serial-MRV,1,5,0.000514708,1
easy_008,Easy,BranchBound,1,1,0.000028084,1
easy_008,Easy,BranchBound,1,2,0.000024958,1
easy_008,Easy,BranchBound,1,3,0.000023834,1
easy_008,Easy,BranchBound,1,4,0.000023750,1
easy_008,Easy,BranchBound,1,5,0.000023584,1
easy_008,Easy,BranchBoundMRV,1,1,0.000871125,1
easy_008,Easy,BranchBoundMRV,1,2,0.000725125,1
easy_008,Easy,BranchBoundMRV,1,3,0.000701042,1
easy_008,Easy,BranchBoundMRV,1,4,0.000788250,1
easy_008,Easy,BranchBoundMRV,1,5,0.000770916,1
easy_008,Easy,OpenMP,4,1,0.000577927,1
easy_008,Easy,OpenMP,4,2,0.000679970,1
easy_008,Easy,OpenMP,4,3,0.000567198,1
easy_008,Easy,OpenMP,4,4,0.000576973,1
easy_008,Easy,OpenMP,4,5,0.000569820,1
easy_008,Easy,OpenMP,8,1,0.001186132,1
easy_008,Easy,OpenMP,8,2,0.001348019,1
easy_008,Easy,OpenMP,8,3,0.001245022,1
easy_008,Easy,OpenMP,8,4,0.001444101,1
easy_008,Easy,OpenMP,8,5,0.000871181,1
easy_008,Easy,OpenMP,16,1,0.015238047,1
easy_008,Easy,OpenMP,16,2,0.012290955,1
easy_008,Easy,OpenMP,16,3,0.010797024,1
easy_008,Easy,OpenMP,16,4,0.007973194,1
