Board_ID,Difficulty,Algorithm,Threads,Rep,Time_s,Nodes,Correct
easy_003,Easy,BranchBoundMRV,1,3,0.001522667,70,1
easy_003,Easy,BranchBoundMRV,1,4,0.001519875,70,1
easy_003,Easy,BranchBoundMRV,1,5,0.001515167,70,1
easy_003,Easy,OpenMP,4,1,0.001248837,196,1
easy_003,Easy,OpenMP,4,2,0.001212835,196,1
easy_003,Easy,OpenMP,4,3,0.001206875,196,1
easy_003,Easy,OpenMP,4,4,0.001205921,196,1
easy_003,Easy,OpenMP,4,5,0.001206160,196,1
easy_003,Easy,OpenMP,8,1,0.001207829,195,1
easy_003,Easy,OpenMP,8,2,0.001157045,169,1
easy_003,Easy,OpenMP,8,3,0.001213074,174,1
easy_003,Easy,OpenMP,8,4,0.002632141,192,1
easy_003,Easy,OpenMP,8,5,0.001173019,158,1
easy_003,Easy,OpenMP,16,1,0.015990019,281,1
easy_003,Easy,OpenMP,16,2,0.038116932,348,1
easy_003,Easy,OpenMP,16,3,0.016912937,287,1
easy_003,Easy,OpenMP,16,4,0.032034159,158,1
easy_003,Easy,OpenMP,16,5,0.003713131,176,1
easy_003,Easy,OMP-BranchBoundMRV,4,1,0.002582073,218,1
easy_003,Easy,OMP-BranchBoundMRV,4,2,0.002494097,213,1
easy_003,Easy,OMP-BranchBoundMRV,4,3,0.002717972,237,1
easy_003,Easy,OMP-BranchBoundMRV,4,4,0.001765013,177,1
easy_003,Easy,OMP-BranchBoundMRV,4,5,0.002286911,132,1
easy_003,Easy,OMP-BranchBoundMRV,8,1,0.013406992,223,1
easy_003,Easy,OMP-BranchBoundMRV,8,2,0.006954908,209,1
easy_003,Easy,OMP-BranchBoundMRV,8,3,0.010447979,143,1
easy_003,Easy,OMP-BranchBoundMRV,8,4,0.010656834,135,1
easy_003,Easy,OMP-BranchBoundMRV,8,5,0.010112047,130,1
easy_003,Easy,OMP-BranchBoundMRV,16,1,0.023458004,348,1
easy_003,Easy,OMP-BranchBoundMRV,16,2,0.092259884,348,1
easy_003,Easy,OMP-BranchBoundMRV,16,3,0.040254116,315,1
easy_003,Easy,OMP-BranchBoundMRV,16,4,0.019754887,348,1
easy_003,Easy,OMP-BranchBoundMRV,16,5,0.009041071,348,1
easy_004,Easy,Serial,1,1,0.001385750,2500,1
easy_004,Easy,Serial,1,2,0.001307708,2500,1
easy_004,Easy,Serial,1,3,0.001357667,2500,1
easy_004,Easy,Serial,1,4,0.001322083,2500,1
easy_004,Easy,Serial,1,5,0.001270000,2500,1
easy_004,Easy,Serial-MRV,1,1,0.000809417,53,1
easy_004,Easy,Serial-MRV,1,2,0.000744875,53,1
easy_004,Easy,Serial-MRV,1,3,0.000804375,53,1
easy_004,Easy,Serial-MRV,1,4,0.000751583,53,1
easy_004,Easy,Serial-MRV,1,5,0.000766750,53,1
easy_004,Easy,BranchBound,1,1,0.001145791,2500,1
easy_004,Easy,BranchBound,1,2,0.001132625,2500,1
easy_004,Easy,BranchBound,1,3,0.001100792,2500,1
easy_004,Easy,BranchBound,1,4,0.001138500,2500,1
easy_004,Easy,BranchBound,1,5,0.001089750,2500,1
easy_004,Easy,BranchBoundMRV,1,1,0.001142250,53,1
easy_004,Easy,BranchBoundMRV,1,2,0.001092375,53,1
easy_004,Easy,BranchBoundMRV,1,3,0.001120417,53,1
easy_004,Easy,BranchBoundMRV,1,4,0.001120208,53,1
easy_004,Easy,BranchBoundMRV,1,5,0.001060750,53,1
easy_004,Easy,OpenMP,4,1,0.000808001,53,1
easy_004,Easy,OpenMP,4,2,0.000788927,53,1
easy_004,Easy,OpenMP,4,3,0.000885963,53,1
easy_004,Easy,OpenMP,4,4,0.000824213,53,1
easy_004,Easy,OpenMP,4,5,0.000800133,53,1
easy_004,Easy,OpenMP,8,1,0.017853022,53,1
easy_004,Easy,OpenMP,8,2,0.001765013,53,1
easy_004,Easy,OpenMP,8,3,0.001434088,53,1
easy_004,Easy,OpenMP,8,4,0.001184940,53,1
easy_004,Easy,OpenMP,8,5,0.000859976,53,1
easy_004,Easy,OpenMP,16,1,0.012121201,53,1
easy_004,Easy,OpenMP,16,2,0.010386944,53,1
easy_004,Easy,OpenMP,16,3,0.050451040,53,1
easy_004,Easy,OpenMP,16,4,0.027100086,53,1
easy_004,Easy,OpenMP,16,5,0.028159142,53,1
easy_004,Easy,OMP-BranchBoundMRV,4,1,0.001155853,53,1
easy_004,Easy,OMP-BranchBoundMRV,4,2,0.001130819,53,1
easy_004,Easy,OMP-BranchBoundMRV,4,3,0.001122952,53,1
easy_004,Easy,OMP-BranchBoundMRV,4,4,0.001116991,53,1
easy_004,Easy,OMP-BranchBoundMRV,4,5,0.001145840,53,1
easy_004,Easy,OMP-BranchBoundMRV,8,1,0.001135111,53,1
easy_004,Easy,OMP-BranchBoundMRV,8,2,0.001120090,53,1
easy_004,Easy,OMP-BranchBoundMRV,8,3,0.001111984,53,1
easy_004,Easy,OMP-BranchBoundMRV,8,4,0.001118898,53,1
easy_004,Easy,OMP-BranchBoundMRV,8,5,0.001115799,53,1
easy_004,Easy,OMP-BranchBoundMRV,16,1,0.014029980,53,1
easy_004,Easy,OMP-BranchBoundMRV,16,2,0.026293039,53,1
easy_004,Easy,OMP-BranchBoundMRV,16,3,0.035198927,53,1
easy_004,Easy,OMP-BranchBoundMRV,16,4,0.032387972,53,1
easy_004,Easy,OMP-BranchBoundMRV,16,5,0.010102987,53,1
easy_005,Easy,Serial,1,1,0.000266292,554,1
easy_005,Easy,Serial,1,2,0.000257750,554,1
easy_005,Easy,Serial,1,3,0.000255625,554,1
easy_005,Easy,Serial,1,4,0.000255083,554,1
easy_005,Easy,Serial,1,5,0.000359792,554,1
easy_005,Easy,Serial-MRV,1,1,0.001058750,71,1
easy_005,Easy,Serial-MRV,1,2,0.000989583,71,1
easy_005,Easy,Serial-MRV,1,3,0.001069875,71,1
easy_005,Easy,Serial-MRV,1,4,0.000975416,71,1
easy_005,Easy,Serial-MRV,1,5,0.000964583,71,1
easy_005,Easy,BranchBound,1,1,0.000243292,554,1
easy_005,Easy,BranchBound,1,2,0.000237750,554,1
easy_005,Easy,BranchBound,1,3,0.000237416,554,1
easy_005,Easy,BranchBound,1,4,0.000237292,554,1
easy_005,Easy,BranchBound,1,5,0.000237959,554,1
easy_005,Easy,BranchBoundMRV,1,1,0.001171875,71,1
easy_005,Easy,BranchBoundMRV,1,2,0.001191541,71,1
easy_005,Easy,BranchBoundMRV,1,3,0.001178250,71,1
easy_005,Easy,BranchBoundMRV,1,4,0.001203792,71,1
easy_005,Easy,BranchBoundMRV,1,5,0.001199334,71,1
easy_005,Easy,OpenMP,4,1,0.001049042,71,1
easy_005,Easy,OpenMP,4,2,0.001030922,71,1
easy_005,Easy,OpenMP,4,3,0.001033068,71,1
easy_005,Easy,OpenMP,4,4,0.001034975,71,1
easy_005,Easy,OpenMP,4,5,0.001419067,71,1
easy_005,Easy,OpenMP,8,1,0.001061916,71,1
easy_005,Easy,OpenMP,8,2,0.002060890,71,1
easy_005,Easy,OpenMP,8,3,0.004637003,71,1
easy_005,Easy,OpenMP,8,4,0.001037121,71,1
easy_005,Easy,OpenMP,8,5,0.002396107,71,1
easy_005,Easy,OpenMP,16,1,0.020672083,71,1
